com_nam,lin_ima,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb,org_tp,
" ADDIVINOLA COMMITTEE; THE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00523332&tabIndex=1","S","P","Q","6 LIBERTY SQUARE #11","BOSTON","MA","02109","ANGELICA ADDIVINOLA","C00523332","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,331.00","$103,331.00","$58,047.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
" END PAC INC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00561076&tabIndex=1","N","U","Q","C/O JON LEFKOWITZ 151 1ST AVE #214","NEW YORK","NY","10003","PAUL FORSTE","C00561076","2016",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,214.00","$1,214.00",,,,,,,,,,,,,,,,,,,,"$1,214.00",,,"$3,692.38","$2,478.38","$6,500.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00005462&tabIndex=1","Y","U","M","PO BOX 650552","POTOMAC FALLS","VA","20165","SWENSON, MARY GAIL","C00005462","2016","$780.00","$795.00","$1,575.00",,,,,,"$1,575.00",,,,,,,,,,,,,"$1,575.00","$1,575.00",,,,"$2,722.97",,,,,,,,,,,,,,,,,,,"$2,722.97","$2,722.97","$1,575.00","$2,722.97","$13,928.54","$12,780.57",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$2,722.97",,,,,,,,,,,"",
"1199 32BJ/144 SERVICE EMPLOYEES INTERNATIONAL UNION HOME CARE POLITICAL ACTION FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00344531&tabIndex=1","Q","U","Q","330 WEST 42ND STREET, 7TH FLOOR","NEW YORK","NY","10036","FINNEGAN, KEVIN","C00344531","2016",,"$150,265.47","$150,265.47",,,,,,"$150,265.47",,,,,,,,,,,,"$275.48","$150,540.95","$150,540.95",,,,"$1,735.00",,,,,,,,,,,,,,,,,,"$77.00","$1,812.00","$1,812.00","$150,265.47","$1,735.00","$485,019.62","$633,748.57",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$1,735.00",,,,,,,,,,,"L",
"1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00348540&tabIndex=1","Q","U","Q","330 WEST 42ND STREET, 7TH FLOOR","NEW YORK","NY","10036","KEVIN FINNEGAN","C00348540","2016","$1,772.77","$3,439,575.86","$3,441,348.63","$2,628.80",,,,,"$3,441,348.63","$2,628.80",,,,,,,,,,,"$900.10","$3,442,248.73","$3,442,248.73",,,,"$8,195.00",,,,,,"$155,000.00",,,,,,"$1,500,000.00",,,,,,"$50,515.82","$1,716,339.62","$1,716,339.62","$3,438,719.83","$8,195.00","$1,473,937.22","$3,199,846.33","$744,850.12",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$8,195.00",,,,,,,,,,,"L",
"11TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE - FEDERAL","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00538975&tabIndex=1","Y","U","Q","PO BOX 2894","SPRINGFIELD","VA","22152","MCCARTY, RICHARD","C00538975","2016","$1,080.00","$1,815.00","$2,895.00",,,,,,"$2,895.00",,,,,,,,,,,,,"$2,895.00","$2,895.00",,,,"$342.50",,,,"$494.06","$494.06",,,,,,,,,,,,,,"$836.56","$836.56","$2,895.00","$342.50","$1,351.05","$3,409.49",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$342.50",,,,,,,,,,,"",
"11TH CONGRESSIONAL DISTRICT REPUBLICAN PARTY","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00165142&tabIndex=1","Y","U","Q","PO BOX 1963","BRYSON CITY","NC","28713","LINDA G DAHL","C00165142","2016",,"$3,380.00","$3,380.00",,"$285.00",,,,"$3,365.00",,,,,,,,,,,,,"$3,365.00","$3,365.00",,"$1,871.00",,"$1,871.00",,,,,,,,,,,,,,,,,,,"$1,871.50","$1,871.50",,,"$1,858.00","$3,651.00",,,"2015-04-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"12TH CONGRESSIONAL DISTRICT DEMOCRATS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00542720&tabIndex=1","Y","U","Q","19855 W OUTER DRIVE SUITE 103AE","DEARBORN","MI","48124","JIM PEDERSEN","C00542720","2016",,"$99.21","$99.21",,,,,,"$99.21",,,,,,,,,,,,,"$99.21","$99.21",,"$548.28","$2,062.58","$2,610.86",,,,,,,,,,,,,,,,,,"$783.40","$1,331.68","$3,394.26","$99.21","$548.28","$42,948.40","$39,653.35",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"13TH COLONY LEADERSHIP COMMITTEE INC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00381384&tabIndex=1","Q","D","Q","P. O. BOX 114","SAVANNAH","GA","31402","STEPHEN S. LEONARD","C00381384","2016",,,,,,"$5,000.00",,,"$5,000.00",,,,,,,,,,,,"$35.41","$5,035.41","$5,035.41",,,,"$3,291.47",,,,,,,,,,,,,,,,,,,"$3,291.47","$3,291.47","$5,000.00","$3,291.47","$79,949.65","$81,693.59",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$3,291.47",,,,,,,,,,,"",
"13TH CONG DIST REPUBLICAN PARTY","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00523274&tabIndex=1","X","U","Q","113 CREST DR","MOUNT OLIVE","NC","28365","BRENT HEATH","C00523274","2016","$120.00","$4,830.00","$4,950.00",,,,,,"$4,950.00",,,,,,,,,,,,,"$4,950.00","$4,950.00",,,,"$873.00",,,,,,"$2,600.00",,,,,,,,,,,,,"$3,473.54","$3,473.54","$4,950.00","$873.54","$3,826.00","$5,302.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$873.00",,,,,,,,,,,"",
